ResponseId,MainBranch,Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Country,WorkExp,Industry,ConvertedCompYearly
5843,I am a developer by profession,18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,"Developer, full-stack",20 to 99 employees,Bangladesh,10,Software Development,10197
5844,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",15,10,"Developer, full-stack",20 to 99 employees,United States of America,15,Other:,80000
5845,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,19,Cloud infrastructure engineer,"10,000 or more employees",United States of America,19,Government,115000
5846,I am a developer by profession,18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,2,"Developer, game or graphics",10 to 19 employees,Turkey,2,Software Development,14400
5847,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,25,20,"Developer, full-stack",2 to 9 employees,Estonia,20,Software Development,42962
5848,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,Remote,Some college/university study without earning a degree,22,20,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,Ukraine,20,Software Development,150000
5849,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,3,"Developer, desktop or enterprise applications","1,000 to 4,999 employees",Ireland,3,"Internet, Telecomm or Information Services",59073
5850,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,10,System administrator,"10,000 or more employees",Brazil,16,Computer Systems Design and Services,57203
5852,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,14,Engineering manager,20 to 99 employees,Mexico,14,"Internet, Telecomm or Information Services",8625
5859,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,16,"Developer, full-stack",100 to 499 employees,United States of America,16,Other:,150000
5861,I am a developer by profession,25-34 years old,Remote,"Associate degree (A.A., A.S., etc.)",7,7,"Developer, full-stack",20 to 99 employees,Germany,5,Retail and Consumer Services,71500
5862,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27,20,"Developer, back-end",100 to 499 employees,United States of America,20,Healthcare,180000
5863,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,13,"Developer, full-stack",20 to 99 employees,United States of America,20,Software Development,135000
5864,I am a developer by profession,35-44 years old,Remote,Some college/university study without earning a degree,23,21,"Developer, full-stack",10 to 19 employees,Czech Republic,20,Software Development,47778
5865,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,10,Research & Development role,20 to 99 employees,United States of America,10,Software Development,225000
5866,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,10,"Developer, desktop or enterprise applications",100 to 499 employees,France,10,Software Development,107406
5867,I am a developer by profession,18-24 years old,Remote,Primary/elementary school,2,Less than 1 year,"Developer, embedded applications or devices",I don’t know,Ukraine,1,NA,7405
5880,I am a developer by profession,35-44 years old,Remote,Some college/university study without earning a degree,24,16,DevOps specialist,"10,000 or more employees",Spain,20,Banking/Financial Services,59073
5881,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,22,"Developer, full-stack",2 to 9 employees,France,22,Software Development,128887
5882,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,4,2,"Developer, full-stack",2 to 9 employees,Serbia,2,Media & Advertising Services,23200
5883,I am a developer by profession,45-54 years old,Remote,Something else,30,20,"Developer, full-stack","1,000 to 4,999 employees",Argentina,20,"Transportation, or Supply Chain",83138
5887,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,15,Cloud infrastructure engineer,20 to 99 employees,Switzerland,15,Software Development,122559
5891,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,24,"Developer, full-stack","10,000 or more employees",United States of America,28,Software Development,152000
5898,I am a developer by profession,45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,14,"Developer, back-end","10,000 or more employees",United States of America,26,Software Development,380000
5899,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,9,"Developer, back-end","5,000 to 9,999 employees",Poland,9,Retail and Consumer Services,66815
5901,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,Remote,"Associate degree (A.A., A.S., etc.)",10,7,System administrator,100 to 499 employees,United States of America,8,Insurance,90000
5907,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,12,"Developer, front-end",10 to 19 employees,Canada,15,Software Development,109039
5908,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,3,DevOps specialist,"10,000 or more employees",United States of America,6,Manufacturing,160000
5909,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",4,4,Project manager,2 to 9 employees,Netherlands,4,Other:,73036
5910,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,13,"Developer, back-end",100 to 499 employees,Spain,13,Retail and Consumer Services,93443
5911,I am a developer by profession,25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,5,"Developer, full-stack",20 to 99 employees,Pakistan,5,Software Development,17945
5912,I am a developer by profession,18-24 years old,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,1,"Developer, full-stack",20 to 99 employees,Ukraine,1,Software Development,10200
5916,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,3,"Developer, embedded applications or devices",100 to 499 employees,Canada,3,Other:,63970
5921,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",21,13,"Developer, front-end","10,000 or more employees",Sweden,13,Healthcare,73664
5928,I am a developer by profession,35-44 years old,Remote,Some college/university study without earning a degree,25,19,"Developer, back-end",20 to 99 employees,United States of America,26,Software Development,180000
5930,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27,23,"Developer, desktop or enterprise applications","5,000 to 9,999 employees",United States of America,23,Manufacturing,136000
5934,I am a developer by profession,45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32,22,"Developer, back-end","10,000 or more employees",United States of America,22,Software Development,220000
5937,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,4,"Developer, AI",20 to 99 employees,Israel,4,Software Development,230000
5939,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,12,"Developer, full-stack","10,000 or more employees",India,12,Manufacturing,29909
5940,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7,DevOps specialist,20 to 99 employees,Switzerland,7,Software Development,112977
5944,I am a developer by profession,45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29,25,"Developer, full-stack",10 to 19 employees,United States of America,29,Other:,112000
5946,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,11,"Developer, back-end",20 to 99 employees,Germany,11,Fintech,85925
5950,I am a developer by profession,45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,17,"Developer, back-end",100 to 499 employees,United States of America,17,Software Development,98000
5951,I am a developer by profession,55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21,13,"Developer, full-stack",100 to 499 employees,United States of America,40,Banking/Financial Services,85535
5952,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,10,DevOps specialist,"1,000 to 4,999 employees",United States of America,10,Other:,160000
5954,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27,19,"Developer, mobile","10,000 or more employees",United States of America,20,Software Development,250000
5955,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,10,"Developer, full-stack","1,000 to 4,999 employees",Germany,10,Retail and Consumer Services,72499
5956,I am a developer by profession,55-64 years old,Remote,Some college/university study without earning a degree,41,39,"Developer, full-stack","10,000 or more employees",United States of America,41,Healthcare,160000
5958,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,21,"Developer, back-end",20 to 99 employees,Israel,25,Software Development,134921
5967,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,3,"Developer, full-stack","5,000 to 9,999 employees",Italy,2,Software Development,30074
5970,I am a developer by profession,45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",34,29,"Developer, back-end",20 to 99 employees,United States of America,29,Software Development,175000
5973,I am a developer by profession,18-24 years old,Remote,Some college/university study without earning a degree,8,5,"Developer, full-stack",20 to 99 employees,Poland,5,Other:,49493
5974,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7,"Developer, back-end",2 to 9 employees,Brazil,7,Healthcare,3730
5976,I am a developer by profession,45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",34,30,"Senior Executive (C-Suite, VP, etc.)",100 to 499 employees,United States of America,34,Energy,400000
5977,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,6,Other (please specify):,20 to 99 employees,Sri Lanka,6,Software Development,56000
5979,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7,"Developer, full-stack","5,000 to 9,999 employees",United States of America,11,Manufacturing,89000
5981,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,3,Scientist,2 to 9 employees,United States of America,3,Higher Education,40000
5982,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,5,Data or business analyst,10 to 19 employees,Sweden,10,NA,40061
5985,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,9,"Developer, mobile","5,000 to 9,999 employees",Ukraine,9,Retail and Consumer Services,95000
5986,I am a developer by profession,18-24 years old,In-person,Some college/university study without earning a degree,6,1,"Developer, full-stack",20 to 99 employees,Greece,1,Media & Advertising Services,10741
5991,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,16,"Developer, full-stack","5,000 to 9,999 employees",Poland,16,Banking/Financial Services,83148
5993,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,18,"Developer, full-stack",100 to 499 employees,United States of America,18,Other:,190000
5996,I am a developer by profession,35-44 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,13,"Developer, full-stack",100 to 499 employees,"Iran, Islamic Republic of...",13,Software Development,8316
5997,"I am not primarily a developer, but I write code sometimes as part of my work/studies",55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29,25,Other (please specify):,"10,000 or more employees",United States of America,33,Banking/Financial Services,181000
5998,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,6,"Developer, full-stack",100 to 499 employees,Brazil,6,Software Development,20141
5999,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,6,"Developer, back-end",500 to 999 employees,Russian Federation,6,Other:,43697
6001,I am a developer by profession,18-24 years old,In-person,Some college/university study without earning a degree,6,3,"Developer, full-stack",2 to 9 employees,Canada,3,Software Development,39981
6003,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)",Something else,11,7,"Developer, back-end",2 to 9 employees,Austria,7,Software Development,39096
6004,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,12,"Developer, back-end",20 to 99 employees,Brazil,13,Fintech,13987
6008,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,11,"Developer, mobile",20 to 99 employees,United States of America,8,Software Development,160000
6010,I am a developer by profession,25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,9,"Developer, game or graphics",100 to 499 employees,France,9,Software Development,53703
6013,I am a developer by profession,25-34 years old,In-person,Some college/university study without earning a degree,8,7,"Developer, front-end",2 to 9 employees,United States of America,7,Software Development,65000
6014,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)",Primary/elementary school,25,20,"Developer, back-end",500 to 999 employees,Switzerland,25,"Transportation, or Supply Chain",133700
6015,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,11,"Developer, back-end",10 to 19 employees,Canada,11,Other:,116309
6017,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",44,35,"Developer, full-stack",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,36,"Transportation, or Supply Chain",191082
6018,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,1,"Developer, front-end",20 to 99 employees,Romania,1,Software Development,11652
6020,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,10,Data engineer,20 to 99 employees,France,10,Software Development,85925
6021,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",3,1,"Developer, full-stack",20 to 99 employees,Greece,12,Healthcare,21481
6025,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,18,"Developer, full-stack",20 to 99 employees,South Africa,18,"Internet, Telecomm or Information Services",52947
6026,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,8,"Developer, full-stack","10,000 or more employees",United States of America,8,Software Development,235000
6028,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28,22,"Developer, embedded applications or devices",500 to 999 employees,Russian Federation,22,Fintech,40336
6029,I am a developer by profession,35-44 years old,Remote,Some college/university study without earning a degree,22,11,"Developer, back-end",20 to 99 employees,Czech Republic,22,Fintech,86870
6030,I am a developer by profession,18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,3,Data engineer,"10,000 or more employees",India,2,Other:,16510
6032,I am a developer by profession,25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,4,Data scientist or machine learning specialist,"1,000 to 4,999 employees",Denmark,5,NA,129602
6035,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,20,10,Engineering manager,100 to 499 employees,United States of America,10,Retail and Consumer Services,190000
6038,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,3,"Developer, front-end",20 to 99 employees,Ukraine,3,"Internet, Telecomm or Information Services",22
6044,I am a developer by profession,45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28,32,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,Pakistan,25,Software Development,85000
6045,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,3,"Developer, back-end",10 to 19 employees,Ethiopia,3,Software Development,8707
6053,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,10,"Developer, mobile",20 to 99 employees,Germany,12,Healthcare,81629
6055,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21,15,"Developer, full-stack",2 to 9 employees,Peru,15,Insurance,52812
6057,I am a developer by profession,55-64 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,43,38,"Developer, desktop or enterprise applications",20 to 99 employees,United States of America,43,Software Development,170000
6058,I am a developer by profession,35-44 years old,Remote,Some college/university study without earning a degree,15,12,"Developer, full-stack",20 to 99 employees,United States of America,15,Software Development,150000
6059,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,2,"Developer, full-stack","5,000 to 9,999 employees",United States of America,2,Banking/Financial Services,110000
6060,I am a developer by profession,35-44 years old,Remote,"Associate degree (A.A., A.S., etc.)",11,10,"Developer, back-end",10 to 19 employees,Poland,10,Insurance,74239
6061,I am a developer by profession,35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,10,"Developer, embedded applications or devices",10 to 19 employees,Czech Republic,12,Manufacturing,60809
6063,I am a developer by profession,25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,11,"Developer, game or graphics","5,000 to 9,999 employees",Turkey,5,Government,773
6064,I am a developer by profession,55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42,36,"Developer, back-end","1,000 to 4,999 employees",United States of America,41,Software Development,240000
6068,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,11,"Developer, full-stack","10,000 or more employees",Sweden,11,Retail and Consumer Services,64098
6069,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,6,"Senior Executive (C-Suite, VP, etc.)",10 to 19 employees,"Iran, Islamic Republic of...",13,Retail and Consumer Services,18000
6070,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,11,"Developer, full-stack","5,000 to 9,999 employees",United States of America,14,Software Development,320000
6073,I am a developer by profession,25-34 years old,Remote,Some college/university study without earning a degree,10,10,"Developer, full-stack",10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,14,Software Development,61146
6074,I am a developer by profession,35-44 years old,Remote,Some college/university study without earning a degree,5,4,"Developer, full-stack",20 to 99 employees,United States of America,18,Other:,102000
6079,I am a developer by profession,18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,4,"Developer, full-stack","1,000 to 4,999 employees",Canada,3,Software Development,65424
6085,I am a developer by profession,Under 18 years old,Remote,Primary/elementary school,10,2,"Developer, full-stack",20 to 99 employees,Canada,2,"Internet, Telecomm or Information Services",58154
6092,I am a developer by profession,45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,43,34,Other (please specify):,"5,000 to 9,999 employees",New Zealand,43,Banking/Financial Services,104476
6096,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,5,"Developer, mobile",20 to 99 employees,Palestine,5,"Transportation, or Supply Chain",5051
6097,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,10,"Developer, full-stack",20 to 99 employees,Switzerland,10,Software Development,128129
6104,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,19,"Developer, back-end",20 to 99 employees,Ukraine,19,Software Development,78988
6105,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,15,"Developer, back-end","1,000 to 4,999 employees",Italy,15,Other:,107943
6106,I am a developer by profession,18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,3,"Developer, back-end",10 to 19 employees,Ukraine,3,Media & Advertising Services,2468
6107,I am a developer by profession,25-34 years old,Remote,Some college/university study without earning a degree,15,6,"Developer, back-end",100 to 499 employees,Malta,6,Software Development,53703
6108,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,10,"Developer, full-stack",10 to 19 employees,Germany,10,Other:,75184
6110,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,3,"Developer, desktop or enterprise applications","10,000 or more employees",Portugal,3,Manufacturing,26841
6112,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12,12,Data scientist or machine learning specialist,100 to 499 employees,Germany,12,Other:,112777
6115,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,15,Data engineer,10 to 19 employees,Netherlands,15,Software Development,112777
6116,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,11,Other (please specify):,"10,000 or more employees",Netherlands,11,Software Development,268515
6117,I am a developer by profession,45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40,27,Research & Development role,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,27,"Internet, Telecomm or Information Services",89172
6122,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,5,"Developer, back-end",20 to 99 employees,Poland,5,Software Development,37120
6123,I am a developer by profession,45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,25,"Developer, back-end","1,000 to 4,999 employees",United States of America,25,Software Development,265000
6124,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,4,DevOps specialist,"5,000 to 9,999 employees",Russian Federation,4,Software Development,29132
6125,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,9,Engineering manager,20 to 99 employees,Canada,12,Retail and Consumer Services,138117
6126,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,7,"Developer, mobile",100 to 499 employees,Germany,8,Other:,95592
6127,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,2,"Developer, front-end",2 to 9 employees,United States of America,2,Software Development,40000
6131,I am a developer by profession,25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,2,"Developer, full-stack",20 to 99 employees,United States of America,3,Government,105000
6132,I am a developer by profession,45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27,22,"Developer, full-stack","1,000 to 4,999 employees",United States of America,22,"Transportation, or Supply Chain",125000
6133,I am a developer by profession,35-44 years old,Remote,Some college/university study without earning a degree,15,15,"Developer, full-stack",100 to 499 employees,United States of America,14,NA,105000
6134,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",24,20,Engineering manager,20 to 99 employees,Canada,22,Retail and Consumer Services,87231
6135,I am a developer by profession,18-24 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7,2,"Developer, full-stack","1,000 to 4,999 employees",Germany,2,Insurance,42533
6136,I am a developer by profession,25-34 years old,Remote,Something else,14,10,Data engineer,500 to 999 employees,Canada,10,Retail and Consumer Services,76328
6139,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,10,"Developer, full-stack",20 to 99 employees,Canada,10,Other:,95955
6140,I am a developer by profession,18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,2,"Developer, back-end","10,000 or more employees",Colombia,2,Higher Education,30000
6141,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,8,"Developer, back-end","1,000 to 4,999 employees",United States of America,8,"Internet, Telecomm or Information Services",150000
6143,I am a developer by profession,55-64 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",41,36,Hardware Engineer,20 to 99 employees,United States of America,36,Manufacturing,240000
6144,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,5,3,"Developer, full-stack",20 to 99 employees,Austria,3,Retail and Consumer Services,48333
6145,I am a developer by profession,35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,18,"Developer, mobile","1,000 to 4,999 employees",Spain,18,"Internet, Telecomm or Information Services",48333
6147,I am a developer by profession,25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,9,"Developer, back-end",20 to 99 employees,France,9,Fintech,64444
6148,I am a developer by profession,35-44 years old,Remote,Some college/university study without earning a degree,22,18,"Developer, back-end","5,000 to 9,999 employees",Brazil,22,"Transportation, or Supply Chain",67135
6149,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",30,24,"Developer, full-stack",100 to 499 employees,Switzerland,24,Software Development,122559
6150,I am a developer by profession,25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,2,"Developer, back-end",100 to 499 employees,United States of America,2,Software Development,88000
6155,I am a developer by profession,35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,11,"Developer, full-stack",100 to 499 employees,United States of America,11,Insurance,170000
6158,I am a developer by profession,25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,7,"Developer, embedded applications or devices",2 to 9 employees,Germany,7,Other:,53703
6159,I am a developer by profession,25-34 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,10,Data scientist or machine learning specialist,100 to 499 employees,United States of America,10,Fintech,190000
6164,I am a developer by profession,25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,7,Engineering manager,"5,000 to 9,999 employees",United Kingdom of Great Britain and Northern Ireland,7,Other:,114649
6167,I am a developer by profession,55-64 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",39,32,"Developer, full-stack",10 to 19 employees,Germany,32,Software Development,85925
6169,I am a developer by profession,25-34 years old,Remote,Some college/university study without earning a degree,13,10,"Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,United States of America,15,Manufacturing,113000
6170,I am a developer by profession,25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,3,"Developer, full-stack",20 to 99 employees,United States of America,3,Software Development,55000
